run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_name	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	read_count	base_count	fastq_ftp	fastq_md5	fastq_bytes	first_public
ERR2808282	PRJEB28709	ERP110953	ERX2815659	SAMEA4934040	ERS2752831	E-MTAB-7223:OCM.74-S	OCM.74-S	OCM.74-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	62385171	9419998777	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/002/ERR2808282/ERR2808282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/002/ERR2808282/ERR2808282_2.fastq.gz	f6c09a74f1d91a6722f3af16178292a2;05a7fb638c9a218225706484806641ce	2639648703;2768293930	2020-03-13
ERR2808283	PRJEB28709	ERP110953	ERX2815660	SAMEA4934041	ERS2752832	E-MTAB-7223:OCM.79_S	OCM.79_S	OCM.79_S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	33254137	5021410481	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/003/ERR2808283/ERR2808283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/003/ERR2808283/ERR2808283_2.fastq.gz	0a52820ae431a47af189ea986a1ebc13;1e0717ab0f37cb50a299782738fc2a81	1403589182;1473402311	2020-03-13
ERR2808253	PRJEB28709	ERP110953	ERX2815630	SAMEA4934011	ERS2752802	E-MTAB-7223:OCM.46-3T-P4	OCM.46-3T-P4	OCM.46-3T-P4_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	65493041	9777872031	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/003/ERR2808253/ERR2808253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/003/ERR2808253/ERR2808253_2.fastq.gz	d767cf0a2056d7006fab88273e623a75;c3465c7fd65d17735e278304a8d47635	2757362548;2847895731	2020-03-13
ERR2808254	PRJEB28709	ERP110953	ERX2815631	SAMEA4934012	ERS2752803	E-MTAB-7223:OCM.59-3-T	OCM.59-3-T	OCM.59-3-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	34116889	5151847314	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/004/ERR2808254/ERR2808254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/004/ERR2808254/ERR2808254_2.fastq.gz	d9bf651736637d47ab809a5eceae83bf;8b70028fb23a7e77302977f65a119cc7	1447543946;1518058534	2020-03-13
ERR2808256	PRJEB28709	ERP110953	ERX2815633	SAMEA4934014	ERS2752805	E-MTAB-7223:OCM.64_T	OCM.64_T	OCM.64_T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	59340504	8960735560	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/006/ERR2808256/ERR2808256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/006/ERR2808256/ERR2808256_2.fastq.gz	f647a94ccc50dc694de8c89d584fddc6;c09b0518d9f365a9d7b08f6fd3134d8f	2537500207;2651738891	2020-03-13
ERR2808263	PRJEB28709	ERP110953	ERX2815640	SAMEA4934021	ERS2752812	E-MTAB-7223:OCM.72-T	OCM.72-T	OCM.72-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	67931412	10249079316	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/003/ERR2808263/ERR2808263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/003/ERR2808263/ERR2808263_2.fastq.gz	fe9a44789b383e4bfe70655a727108f2;df418e85e3eb901f5c41628997dcc002	2878849356;3007155619	2020-03-13
ERR2808266	PRJEB28709	ERP110953	ERX2815643	SAMEA4934024	ERS2752815	E-MTAB-7223:OCM.79_T	OCM.79_T	OCM.79_T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	37723072	5697306702	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/006/ERR2808266/ERR2808266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/006/ERR2808266/ERR2808266_2.fastq.gz	330d4c69bad6e35280780ab32c0a67f2;884933b6689d2b263cc1624b3f43ace9	1589773298;1675967659	2020-03-13
ERR2808268	PRJEB28709	ERP110953	ERX2815645	SAMEA4934026	ERS2752817	E-MTAB-7223:FNE	FNE	FNE_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	66683953	10069104204	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/008/ERR2808268/ERR2808268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/008/ERR2808268/ERR2808268_2.fastq.gz	d0525a4a46ca25f775f29e11ec444cdf;265505313bd7908feb12350dd3c26a44	2786831828;2937728158	2020-03-13
ERR2808272	PRJEB28709	ERP110953	ERX2815649	SAMEA4934030	ERS2752821	E-MTAB-7223:OCM.46-3S-P5	OCM.46-3S-P5	OCM.46-3S-P5_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	71309882	10765323190	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/002/ERR2808272/ERR2808272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/002/ERR2808272/ERR2808272_2.fastq.gz	71710246d6cd974dec8a18097e2af852;eac976f043291238d39ba99907337ab9	3013302915;3184373144	2020-03-13
ERR2808274	PRJEB28709	ERP110953	ERX2815651	SAMEA4934032	ERS2752823	E-MTAB-7223:OCM.61a-S	OCM.61a-S	OCM.61a-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	69606513	10490897318	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/004/ERR2808274/ERR2808274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/004/ERR2808274/ERR2808274_2.fastq.gz	8f6474efa7a90531df757a3ed3af3186;114113ffa019aabefb29da8a84257c97	2932472412;2998504763	2020-03-13
ERR2808275	PRJEB28709	ERP110953	ERX2815652	SAMEA4934033	ERS2752824	E-MTAB-7223:OCM.64_S	OCM.64_S	OCM.64_S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	69363598	10473721292	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/005/ERR2808275/ERR2808275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/005/ERR2808275/ERR2808275_2.fastq.gz	5e24908f05d420960c83509e8011c83c;a1185d5c85354b1f4168aab56c38a44f	2915660887;3074846478	2020-03-13
ERR2808279	PRJEB28709	ERP110953	ERX2815656	SAMEA4934037	ERS2752828	E-MTAB-7223:OCM.69-S	OCM.69-S	OCM.69-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	56472665	8527564727	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/009/ERR2808279/ERR2808279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/009/ERR2808279/ERR2808279_2.fastq.gz	4ddd7d7bc7b28b40ff0167d10d7ac6b9;91ad3adebbd29fb44bd55995c3a09b19	2467033796;2516455257	2020-03-13
ERR2808250	PRJEB28709	ERP110953	ERX2815627	SAMEA4934008	ERS2752799	E-MTAB-7223:OCM.33-2_T	OCM.33-2_T	OCM.33-2_T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	63569993	9600075082	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/000/ERR2808250/ERR2808250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/000/ERR2808250/ERR2808250_2.fastq.gz	82f49fdfe9d56b8ae1df574b0eb26d69;5d5375954677bbd643e49098335e46fb	2666022404;2815877466	2020-03-13
ERR2808251	PRJEB28709	ERP110953	ERX2815628	SAMEA4934009	ERS2752800	E-MTAB-7223:OCM.38-T	OCM.38-T	OCM.38-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	71253346	10758951530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/001/ERR2808251/ERR2808251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/001/ERR2808251/ERR2808251_2.fastq.gz	6a7367628e9e08a229353837d1c66c79;2683711edfa76da9b0f3474b95e9ff68	3030952699;3182720485	2020-03-13
ERR2808252	PRJEB28709	ERP110953	ERX2815629	SAMEA4934010	ERS2752801	E-MTAB-7223:OCM.46-3T-P14	OCM.46-3T-P14	OCM.46-3T-P14_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	68779887	10367680161	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/002/ERR2808252/ERR2808252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/002/ERR2808252/ERR2808252_2.fastq.gz	6996a11d186fc73aceabe13b637aaf43;4d2c027e81af0a1f5f7a293d80fb7144	2873146773;2981456965	2020-03-13
ERR2808257	PRJEB28709	ERP110953	ERX2815634	SAMEA4934015	ERS2752806	E-MTAB-7223:OCM.64-3_T	OCM.64-3_T	OCM.64-3_T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	56866299	8587129054	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/007/ERR2808257/ERR2808257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/007/ERR2808257/ERR2808257_2.fastq.gz	30214349603f5de77b5a95fb26a88566;93a46b9e9f2b777c2fb39076a9dba583	2392812865;2518569997	2020-03-13
ERR2808259	PRJEB28709	ERP110953	ERX2815636	SAMEA4934017	ERS2752808	E-MTAB-7223:OCM.64-3-T-EpcamPos	OCM.64-3-T-EpcamPos	OCM.64-3-T-EpcamPos_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	32963353	4977433668	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/009/ERR2808259/ERR2808259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/009/ERR2808259/ERR2808259_2.fastq.gz	7d3139d1abc41b26eccacca673226c55;7fe75a70e3b3fd0078ce8058a58074b5	1401553728;1480707062	2020-03-13
ERR2808262	PRJEB28709	ERP110953	ERX2815639	SAMEA4934020	ERS2752811	E-MTAB-7223:OCM.69-T	OCM.69-T	OCM.69-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	44872496	6775511574	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/002/ERR2808262/ERR2808262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/002/ERR2808262/ERR2808262_2.fastq.gz	222bcb60fd2757822c266755b5ae2c49;9cdfb0495b7835479c9389f853954e55	1903765365;2006257708	2020-03-13
ERR2808265	PRJEB28709	ERP110953	ERX2815642	SAMEA4934023	ERS2752814	E-MTAB-7223:OCM.74-T	OCM.74-T	OCM.74-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	55291100	8349334469	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/005/ERR2808265/ERR2808265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/005/ERR2808265/ERR2808265_2.fastq.gz	236115dadef69f73823321c516b733a9;1c53be5dea99bc6d678ece573e54a011	2349835176;2470954371	2020-03-13
ERR2808267	PRJEB28709	ERP110953	ERX2815644	SAMEA4934025	ERS2752816	E-MTAB-7223:OCM.87_T	OCM.87_T	OCM.87_T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	80661343	12187742572	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/007/ERR2808267/ERR2808267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/007/ERR2808267/ERR2808267_2.fastq.gz	ae7296458b1be655f6784da882352e23;0e57a0eb2b3faa3877348af65b0f5cc7	3406964231;3483316284	2020-03-13
ERR2808269	PRJEB28709	ERP110953	ERX2815646	SAMEA4934027	ERS2752818	E-MTAB-7223:OCM.33-2_S	OCM.33-2_S	OCM.33-2_S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	80149512	12104618942	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/009/ERR2808269/ERR2808269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/009/ERR2808269/ERR2808269_2.fastq.gz	c55eb1374c383b0950b718127fd671b2;b2c29534ece3309a5a6eddf5e448b344	3356374206;3531487529	2020-03-13
ERR2808271	PRJEB28709	ERP110953	ERX2815648	SAMEA4934029	ERS2752820	E-MTAB-7223:OCM.46-3S-P15	OCM.46-3S-P15	OCM.46-3S-P15_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	66816696	10084182372	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/001/ERR2808271/ERR2808271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/001/ERR2808271/ERR2808271_2.fastq.gz	b5415a6b701aaa1ac2bfbf78df211b1b;1e1c45a2ca55f0d79a0c712f021a0b81	2822467552;2907254956	2020-03-13
ERR2808277	PRJEB28709	ERP110953	ERX2815654	SAMEA4934035	ERS2752826	E-MTAB-7223:OCM.66-5S	OCM.66-5S	OCM.66-5S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	60783184	9174523816	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/007/ERR2808277/ERR2808277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/007/ERR2808277/ERR2808277_2.fastq.gz	24f49135f62530a2633cd332acaa8788;b90f3dc502a8966ddb2564168b8ae1fd	2612089775;2687690778	2020-03-13
ERR2808278	PRJEB28709	ERP110953	ERX2815655	SAMEA4934036	ERS2752827	E-MTAB-7223:OCM.66-S	OCM.66-S	OCM.66-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	67991251	10246797696	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/008/ERR2808278/ERR2808278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/008/ERR2808278/ERR2808278_2.fastq.gz	b0917c2c3d8205f246ad94212ec8e34b;858b289438399eff95b1e5a63ac8fda1	2865870048;2962983281	2020-03-13
ERR2808280	PRJEB28709	ERP110953	ERX2815657	SAMEA4934038	ERS2752829	E-MTAB-7223:OCM.72-S	OCM.72-S	OCM.72-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	58581830	8843975312	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/000/ERR2808280/ERR2808280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/000/ERR2808280/ERR2808280_2.fastq.gz	0df6e1244474e619f63c812213ddc1a5;831eaa802a639009e7a0704f78c9de84	2532884659;2617024718	2020-03-13
ERR2808284	PRJEB28709	ERP110953	ERX2815661	SAMEA4934042	ERS2752833	E-MTAB-7223:OCM.87_S	OCM.87_S	OCM.87_S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	63375702	9569736060	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/004/ERR2808284/ERR2808284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/004/ERR2808284/ERR2808284_2.fastq.gz	d9c0bdd50231981717976ef802beacc3;2308bc10fd876f84af9b7458e5d9c5e5	2650855225;2794780514	2020-03-13
