run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_name	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	read_count	base_count	fastq_ftp	fastq_md5	fastq_bytes	first_public
ERR6389096	PRJEB46736	ERP130952	ERX6018194	SAMEA9490378	ERS7213218	E-MTAB-10801:OCM86-S	OCM86-S	OCM86-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	93892416	7039294741	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/006/ERR6389096/ERR6389096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/006/ERR6389096/ERR6389096_2.fastq.gz	c7c0684b595f39d7543cdcb9b7b54185;dc1b20e4345dbbdc1bfd606a68d04ce6	1990883390;2345624306	2021-08-09
ERR6389070	PRJEB46736	ERP130952	ERX6018168	SAMEA9490351	ERS7213192	E-MTAB-10801:OCM110-S	OCM110-S	OCM110-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	124189710	9359771462	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/000/ERR6389070/ERR6389070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/000/ERR6389070/ERR6389070_2.fastq.gz	c6d653908cd518819903551180453a4f;821aca227fd6a04d3bb4eb1bd9a7f2f8	2595241718;2825689710	2021-08-09
ERR6389076	PRJEB46736	ERP130952	ERX6018174	SAMEA9490358	ERS7213198	E-MTAB-10801:OCM124-11-S	OCM124-11-S	OCM124-11-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	85182330	6386977286	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/006/ERR6389076/ERR6389076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/006/ERR6389076/ERR6389076_2.fastq.gz	fa4559dbcb608cf9a56514b0d8faae63;cce39b6b20e6bfab84c23bb9baae4af2	1778350226;2033201610	2021-08-09
ERR6389077	PRJEB46736	ERP130952	ERX6018175	SAMEA9490359	ERS7213199	E-MTAB-10801:OCM124-11-T	OCM124-11-T	OCM124-11-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	85542922	6399757906	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/007/ERR6389077/ERR6389077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/007/ERR6389077/ERR6389077_2.fastq.gz	4a1926cd26ef98891ca8e7cbe20cc5c1;9bd507eab1645c8bd8fe7a2799f3d805	1706679087;2016127548	2021-08-09
ERR6389079	PRJEB46736	ERP130952	ERX6018177	SAMEA9490361	ERS7213201	E-MTAB-10801:OCM124-T	OCM124-T	OCM124-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	117705166	8861176979	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/009/ERR6389079/ERR6389079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/009/ERR6389079/ERR6389079_2.fastq.gz	c7fe69767771335c1ba91c11f82aee43;8f343f340a4b923a519894063d56789a	2425580693;2644059598	2021-08-09
ERR6389085	PRJEB46736	ERP130952	ERX6018183	SAMEA9490367	ERS7213207	E-MTAB-10801:OCM165-S	OCM165-S	OCM165-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	102940380	7735218655	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/005/ERR6389085/ERR6389085_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/005/ERR6389085/ERR6389085_2.fastq.gz	d11a5e5cc75f28d99ca3dcbbc7e58815;8ccee3f6402c9f68da53ab330a4086ba	2183715161;2565346636	2021-08-09
ERR6389087	PRJEB46736	ERP130952	ERX6018185	SAMEA9490369	ERS7213209	E-MTAB-10801:OCM167-T	OCM167-T	OCM167-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	92769436	6953680476	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/007/ERR6389087/ERR6389087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/007/ERR6389087/ERR6389087_2.fastq.gz	799c65e20cd51a7a05ac99cdfd78ff50;18509976b0e88bd9adeb79c314488e2a	1987136528;2288367497	2021-08-09
ERR6389088	PRJEB46736	ERP130952	ERX6018186	SAMEA9490370	ERS7213210	E-MTAB-10801:OCM191-S	OCM191-S	OCM191-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	122407550	9197711496	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/008/ERR6389088/ERR6389088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/008/ERR6389088/ERR6389088_2.fastq.gz	4a3aaa89923b9f68e5247494d6857321;aefb52daae86f3a3ffee2b801de0a068	2673623753;2883287369	2021-08-09
ERR6389090	PRJEB46736	ERP130952	ERX6018188	SAMEA9490372	ERS7213212	E-MTAB-10801:OCM195-S	OCM195-S	OCM195-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	110723094	8307886305	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/000/ERR6389090/ERR6389090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/000/ERR6389090/ERR6389090_2.fastq.gz	687c6cc31003a65eb9701a05f3a538fa;bf25a0b4b819a8cb12284fde63326331	2362187143;2750439257	2021-08-09
ERR6389091	PRJEB46736	ERP130952	ERX6018189	SAMEA9490373	ERS7213213	E-MTAB-10801:OCM195-T	OCM195-T	OCM195-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	94956090	7142665410	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/001/ERR6389091/ERR6389091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/001/ERR6389091/ERR6389091_2.fastq.gz	fa669636c6270f194c492e0b1bbd4e4c;1cff6065dfc4b1ae3b0ce2535be6b892	2223418573;2372224789	2021-08-09
